,Unnamed: 0,Date,"Natural gas, US","Natural gas, Europe","Liquefied natural gas, Japan"
669,669,2015-10-01,2.32,6.03,10.11
670,670,2015-11-01,2.08,5.5,9.52
671,671,2015-12-01,1.92,5.09,9.08
672,672,2016-01-01,2.27,4.4,8.4
673,673,2016-02-01,1.96,3.97,8.56
674,674,2016-03-01,1.7,3.91,7.74
675,675,2016-04-01,1.9,3.97,6.82
676,676,2016-05-01,1.92,4.33,6.27
677,677,2016-06-01,2.57,4.76,6.4
678,678,2016-07-01,2.79,4.67,6.76
679,679,2016-08-01,2.79,4.05,7.14
680,680,2016-09-01,2.97,4.25,7.54
681,681,2016-10-01,2.95,5.34,7.65
682,682,2016-11-01,2.5,5.69,7.59
683,683,2016-12-01,3.58,5.42,7.59
684,684,2017-01-01,3.26,6.14,8.04
685,685,2017-02-01,2.82,6.05,8.41
686,686,2017-03-01,2.89,5.0,8.25
687,687,2017-04-01,3.08,5.01,8.76
688,688,2017-05-01,3.12,5.06,9.1
689,689,2017-06-01,2.94,4.89,8.88
690,690,2017-07-01,2.96,5.0,8.86
691,691,2017-08-01,2.88,5.48,8.92
692,692,2017-09-01,2.96,5.96,8.64
693,693,2017-10-01,2.86,6.18,8.31
694,694,2017-11-01,2.99,6.69,8.45
695,695,2017-12-01,2.76,7.14,8.65
696,696,2018-01-01,3.86,6.66,9.34
697,697,2018-02-01,2.67,6.72,9.83
698,698,2018-03-01,2.7,6.7,10.11
699,699,2018-04-01,2.78,6.93,10.09
700,700,2018-05-01,2.8,7.49,10.25
701,701,2018-06-01,2.95,7.45,10.44
702,702,2018-07-01,2.83,7.6,10.44
703,703,2018-08-01,2.96,8.08,10.88
704,704,2018-09-01,2.98,9.52,11.3
705,705,2018-10-01,3.28,8.79,11.66
706,706,2018-11-01,4.13,8.27,11.7
707,707,2018-12-01,3.98,7.98,12.0
708,708,2019-01-01,3.08,7.26,12.01
709,709,2019-02-01,2.72,6.01,11.81
710,710,2019-03-01,2.94,5.18,11.29
711,711,2019-04-01,2.65,4.92,10.27
712,712,2019-05-01,2.63,4.34,10.15
713,713,2019-06-01,2.4,3.59,10.04
714,714,2019-07-01,2.36,3.62,10.13
715,715,2019-08-01,2.22,3.68,10.86
716,716,2019-09-01,2.58,4.21,10.14
717,717,2019-10-01,2.33,5.06,9.98
718,718,2019-11-01,2.65,5.15,10.04
719,719,2019-12-01,2.24,4.62,10.06
720,720,2020-01-01,2.03,3.63,9.89
721,721,2020-02-01,1.92,2.91,9.89
722,722,2020-03-01,1.79,2.72,10.21
723,723,2020-04-01,1.74,2.12,10.01
724,724,2020-05-01,1.75,1.58,10.08
725,725,2020-06-01,1.61,1.75,8.97
726,726,2020-07-01,1.74,1.8,7.79
727,727,2020-08-01,2.3,2.86,6.34
728,728,2020-09-01,1.92,3.95,5.88
729,729,2020-10-01,2.25,4.89,6.18
730,730,2020-11-01,2.59,4.84,6.86
731,731,2020-12-01,2.54,5.86,7.66
732,732,2021-01-01,2.67,7.27,9.0
733,733,2021-02-01,5.07,6.16,9.88
734,734,2021-03-01,2.56,6.13,7.9
735,735,2021-04-01,2.61,7.15,8.28
736,736,2021-05-01,2.89,8.91,8.92
737,737,2021-06-01,3.23,10.3,9.62
738,738,2021-07-01,3.8,12.51,10.36
739,739,2021-08-01,4.05,15.43,10.8
740,740,2021-09-01,5.11,22.84,11.44
741,741,2021-10-01,5.48,31.05,12.38
742,742,2021-11-01,5.02,27.62,15.25
743,743,2021-12-01,3.73,38.03,15.32
744,744,2022-01-01,4.33,28.26,14.69
745,745,2022-02-01,4.66,27.23,17.0
746,746,2022-03-01,4.88,42.39,15.11
747,747,2022-04-01,6.53,32.2,16.29
748,748,2022-05-01,8.14,29.17,16.68
749,749,2022-06-01,7.67,33.56,15.53
750,750,2022-07-01,7.26,51.33,18.88
751,751,2022-08-01,8.79,70.04,21.21
752,752,2022-09-01,7.76,59.1,23.73
753,753,2022-10-01,5.62,39.02,21.84
754,754,2022-11-01,5.28,35.72,19.59
755,755,2022-12-01,5.5,36.04,20.58
756,756,2023-01-01,3.27,20.18,20.19
757,757,2023-02-01,2.38,16.54,18.42
758,758,2023-03-01,2.3,13.81,16.03
759,759,2023-04-01,2.16,13.52,14.37
760,760,2023-05-01,2.15,10.11,13.43
761,761,2023-06-01,2.18,10.35,12.68
762,762,2023-07-01,2.55,9.55,12.99
763,763,2023-08-01,2.58,11.19,12.54
764,764,2023-09-01,2.64,11.55,12.21
765,765,2023-10-01,2.99,14.57,12.62
766,766,2023-11-01,2.71,14.49,12.72
767,767,2023-12-01,2.53,11.51,14.44
768,768,2024-01-01,3.18,9.56,14.34
769,769,2024-02-01,1.72,8.15,13.64
770,770,2024-03-01,1.5,8.55,13.19
771,771,2024-04-01,1.6,9.09,11.88
772,772,2024-05-01,2.13,10.12,12.16
773,773,2024-06-01,2.51,10.87,12.13
774,774,2024-07-01,2.08,10.35,12.49
775,775,2024-08-01,1.99,12.37,13.32
776,776,2024-09-01,2.25,11.78,12.97
777,777,2024-10-01,2.21,12.92,12.54
778,778,2024-11-01,2.1,13.93,12.82
779,779,2024-12-01,3.02,13.86,12.64
780,780,2025-01-01,4.1,14.66,13.19
781,781,2025-02-01,4.22,15.34,12.78
782,782,2025-03-01,4.13,13.24,12.55
783,783,2025-04-01,3.4,11.59,12.68
784,784,2025-05-01,3.12,11.66,12.32
785,785,2025-06-01,3.02,12.37,12.17
786,786,2025-07-01,3.19,11.62,12.1
