Country,ISO3 Code,Date,Price (EUR/MWhe)
Denmark,DNK,2015-01-03,15.77
Estonia,EST,2015-01-03,24.73
Belgium,BEL,2015-01-03,36.56
France,FRA,2015-01-03,36.56
Germany,DEU,2015-01-03,22.34
Greece,GRC,2015-01-03,62.76
Hungary,HUN,2015-01-03,39.21
Italy,ITA,2015-01-03,47.72
Finland,FIN,2015-01-03,24.73
Poland,POL,2015-01-04,24.26
Portugal,PRT,2015-01-04,46.84
Romania,ROU,2015-01-04,40.95
Slovakia,SVK,2015-01-04,13.42
Sweden,SWE,2015-01-04,28.31
Spain,ESP,2015-01-04,46.43
Switzerland,CHE,2015-01-04,31.78
EU,EU,2015-01-04,31.966250000000002
Norway,NOR,2015-01-04,28.26
Slovenia,SVN,2015-01-04,38.08
Netherlands,NLD,2015-01-04,36.56
Luxembourg,LUX,2015-01-04,22.34
Lithuania,LTU,2015-01-04,29.39
Austria,AUT,2015-01-04,22.34
Czechia,CZE,2015-01-04,13.42
Denmark,DNK,2015-01-04,22.07
Estonia,EST,2015-01-04,29.4
Finland,FIN,2015-01-04,28.65
Belgium,BEL,2015-01-04,36.56
Germany,DEU,2015-01-04,22.34
Greece,GRC,2015-01-04,52.03
Hungary,HUN,2015-01-04,40.08
Italy,ITA,2015-01-04,47.72
Latvia,LVA,2015-01-04,29.4
France,FRA,2015-01-04,36.56
Norway,NOR,2015-01-05,33.89
Switzerland,CHE,2015-01-05,47.62
Sweden,SWE,2015-01-05,37.45
Spain,ESP,2015-01-05,59.86
Slovenia,SVN,2015-01-05,43.05
Slovakia,SVK,2015-01-05,39.03
Romania,ROU,2015-01-05,40.28
Portugal,PRT,2015-01-05,59.86
Poland,POL,2015-01-05,34.68
Netherlands,NLD,2015-01-05,41.73
EU,EU,2015-01-05,43.272083333333335
Lithuania,LTU,2015-01-05,42.0
Austria,AUT,2015-01-05,36.18
Belgium,BEL,2015-01-05,45.2
Luxembourg,LUX,2015-01-05,36.18
Denmark,DNK,2015-01-05,38.23
Estonia,EST,2015-01-05,41.29
Finland,FIN,2015-01-05,41.29
Czechia,CZE,2015-01-05,39.03
Germany,DEU,2015-01-05,36.18
Greece,GRC,2015-01-05,59.9
Hungary,HUN,2015-01-05,45.29
Italy,ITA,2015-01-05,53.51
Latvia,LVA,2015-01-05,42.0
France,FRA,2015-01-05,44.8
Poland,POL,2015-01-06,32.25
EU,EU,2015-01-06,39.76791666666667
Switzerland,CHE,2015-01-06,45.34
Sweden,SWE,2015-01-06,29.69
Spain,ESP,2015-01-06,53.21
Slovenia,SVN,2015-01-06,41.55
Slovakia,SVK,2015-01-06,36.37
Romania,ROU,2015-01-06,40.93
Portugal,PRT,2015-01-06,53.58
Norway,NOR,2015-01-06,29.16
Netherlands,NLD,2015-01-06,42.19
Luxembourg,LUX,2015-01-06,33.67
Austria,AUT,2015-01-06,33.67
Belgium,BEL,2015-01-06,44.93
Denmark,DNK,2015-01-06,29.51
Estonia,EST,2015-01-06,32.3
Finland,FIN,2015-01-06,32.3
France,FRA,2015-01-06,44.93
Czechia,CZE,2015-01-06,36.37
Greece,GRC,2015-01-06,58.11
Hungary,HUN,2015-01-06,43.2
Italy,ITA,2015-01-06,50.44
Latvia,LVA,2015-01-06,38.53
Lithuania,LTU,2015-01-06,38.53
Germany,DEU,2015-01-06,33.67
Poland,POL,2015-01-07,35.86
Switzerland,CHE,2015-01-07,47.82
Sweden,SWE,2015-01-07,31.79
Spain,ESP,2015-01-07,64.76
Slovenia,SVN,2015-01-07,48.9
Slovakia,SVK,2015-01-07,41.46
Romania,ROU,2015-01-07,45.97
Portugal,PRT,2015-01-07,64.76
Norway,NOR,2015-01-07,29.65
EU,EU,2015-01-07,43.607499999999995
Luxembourg,LUX,2015-01-07,38.59
Estonia,EST,2015-01-07,32.93
Denmark,DNK,2015-01-07,30.33
Czechia,CZE,2015-01-07,38.62
Belgium,BEL,2015-01-07,45.53
Austria,AUT,2015-01-07,38.59
Finland,FIN,2015-01-07,32.93
Netherlands,NLD,2015-01-07,42.49
Lithuania,LTU,2015-01-07,38.49
Latvia,LVA,2015-01-07,38.49
Italy,ITA,2015-01-07,59.96
Hungary,HUN,2015-01-07,48.29
Greece,GRC,2015-01-07,66.25
Germany,DEU,2015-01-07,38.59
France,FRA,2015-01-07,45.53
Austria,AUT,2015-01-08,28.05
EU,EU,2015-01-08,42.73916666666667
Switzerland,CHE,2015-01-08,46.15
Sweden,SWE,2015-01-08,28.49
Spain,ESP,2015-01-08,65.52
Slovenia,SVN,2015-01-08,54.06
Romania,ROU,2015-01-08,58.75
Portugal,PRT,2015-01-08,65.76
Poland,POL,2015-01-08,33.87
Slovakia,SVK,2015-01-08,40.4
Netherlands,NLD,2015-01-08,42.4
Belgium,BEL,2015-01-08,43.23
Czechia,CZE,2015-01-08,27.38
Denmark,DNK,2015-01-08,26.06
Estonia,EST,2015-01-08,29.87
Norway,NOR,2015-01-08,27.66
France,FRA,2015-01-08,42.52
Germany,DEU,2015-01-08,28.05
Finland,FIN,2015-01-08,29.87
Hungary,HUN,2015-01-08,58.75
Italy,ITA,2015-01-08,60.53
Latvia,LVA,2015-01-08,40.32
Lithuania,LTU,2015-01-08,40.32
Luxembourg,LUX,2015-01-08,28.05
Greece,GRC,2015-01-08,79.68
EU,EU,2015-01-09,38.88833333333333
Romania,ROU,2015-01-09,42.51
Switzerland,CHE,2015-01-09,45.05
Sweden,SWE,2015-01-09,28.53
Spain,ESP,2015-01-09,63.12
Slovenia,SVN,2015-01-09,48.37
Slovakia,SVK,2015-01-09,34.43
Portugal,PRT,2015-01-09,63.26
Germany,DEU,2015-01-09,24.48
Norway,NOR,2015-01-09,27.5
Austria,AUT,2015-01-09,24.48
Belgium,BEL,2015-01-09,36.68
Czechia,CZE,2015-01-09,22.09
Denmark,DNK,2015-01-09,25.65
Poland,POL,2015-01-09,32.9
Finland,FIN,2015-01-09,33.31
France,FRA,2015-01-09,33.02
Estonia,EST,2015-01-09,33.31
Greece,GRC,2015-01-09,74.58
Hungary,HUN,2015-01-09,43.74
Italy,ITA,2015-01-09,56.13
Latvia,LVA,2015-01-09,39.51
Lithuania,LTU,2015-01-09,39.51
Luxembourg,LUX,2015-01-09,24.48
Netherlands,NLD,2015-01-09,36.68
EU,EU,2015-01-10,32.20541666666667
Switzerland,CHE,2015-01-10,38.82
Sweden,SWE,2015-01-10,27.69
Spain,ESP,2015-01-10,56.71
Slovakia,SVK,2015-01-10,12.97
Romania,ROU,2015-01-10,37.18
Portugal,PRT,2015-01-10,57.26
Slovenia,SVN,2015-01-10,38.5
Norway,NOR,2015-01-10,26.44
Belgium,BEL,2015-01-10,35.91
Czechia,CZE,2015-01-10,9.32
Denmark,DNK,2015-01-10,19.54
Estonia,EST,2015-01-10,28.87
Finland,FIN,2015-01-10,28.57
Poland,POL,2015-01-10,31.14
Germany,DEU,2015-01-10,12.15
France,FRA,2015-01-10,18.13
Hungary,HUN,2015-01-10,44.63
Italy,ITA,2015-01-10,47.09
Latvia,LVA,2015-01-10,38.78
Lithuania,LTU,2015-01-10,38.78
Austria,AUT,2015-01-10,12.15
Luxembourg,LUX,2015-01-10,12.15
Netherlands,NLD,2015-01-10,36.29
Greece,GRC,2015-01-10,63.86
EU,EU,2015-01-11,27.14916666666667
Slovakia,SVK,2015-01-11,4.6
Switzerland,CHE,2015-01-11,30.58
Sweden,SWE,2015-01-11,26.71
Spain,ESP,2015-01-11,46.71
Slovenia,SVN,2015-01-11,33.69
Romania,ROU,2015-01-11,30.49
Portugal,PRT,2015-01-11,46.77
Poland,POL,2015-01-11,27.9
Austria,AUT,2015-01-11,1.49
Belgium,BEL,2015-01-11,30.43
Czechia,CZE,2015-01-11,4.6
Denmark,DNK,2015-01-11,13.45
Estonia,EST,2015-01-11,27.4
France,FRA,2015-01-11,26.04
Germany,DEU,2015-01-11,1.49
Finland,FIN,2015-01-11,27.4
Hungary,HUN,2015-01-11,32.6
Italy,ITA,2015-01-11,39.47
Latvia,LVA,2015-01-11,39.27
Lithuania,LTU,2015-01-11,39.27
Luxembourg,LUX,2015-01-11,1.49
Netherlands,NLD,2015-01-11,30.73
Norway,NOR,2015-01-11,26.19
Greece,GRC,2015-01-11,62.81
Slovakia,SVK,2015-01-12,24.2
EU,EU,2015-01-12,39.07791666666667
Switzerland,CHE,2015-01-12,40.72
Sweden,SWE,2015-01-12,29.52
Spain,ESP,2015-01-12,58.08
Slovenia,SVN,2015-01-12,44.2
Romania,ROU,2015-01-12,40.22
Finland,FIN,2015-01-12,50.22
Poland,POL,2015-01-12,36.3
Austria,AUT,2015-01-12,22.56
Belgium,BEL,2015-01-12,38.07
Czechia,CZE,2015-01-12,24.2
Denmark,DNK,2015-01-12,17.8
Estonia,EST,2015-01-12,50.22
Portugal,PRT,2015-01-12,58.33
Germany,DEU,2015-01-12,22.56
France,FRA,2015-01-12,36.5
Hungary,HUN,2015-01-12,40.32
Italy,ITA,2015-01-12,50.12
Latvia,LVA,2015-01-12,51.57
Lithuania,LTU,2015-01-12,51.57
Luxembourg,LUX,2015-01-12,22.56
Netherlands,NLD,2015-01-12,37.93
Norway,NOR,2015-01-12,28.23
Greece,GRC,2015-01-12,61.87
EU,EU,2015-01-13,40.76208333333333
Slovakia,SVK,2015-01-13,27.77
Switzerland,CHE,2015-01-13,43.99
Spain,ESP,2015-01-13,56.96
Slovenia,SVN,2015-01-13,46.56
Romania,ROU,2015-01-13,45.99
Sweden,SWE,2015-01-13,33.05
Poland,POL,2015-01-13,33.41
Lithuania,LTU,2015-01-13,51.09
Latvia,LVA,2015-01-13,51.09
Italy,ITA,2015-01-13,54.91
Hungary,HUN,2015-01-13,47.52
Greece,GRC,2015-01-13,55.75
Germany,DEU,2015-01-13,24.97
France,FRA,2015-01-13,36.82
Finland,FIN,2015-01-13,48.24
Estonia,EST,2015-01-13,48.24
Denmark,DNK,2015-01-13,26.62
Czechia,CZE,2015-01-13,27.77
Belgium,BEL,2015-01-13,41.01
Portugal,PRT,2015-01-13,57.25
Netherlands,NLD,2015-01-13,40.93
Luxembourg,LUX,2015-01-13,24.97
Austria,AUT,2015-01-13,24.97
Norway,NOR,2015-01-13,28.41
Greece,GRC,2015-01-14,61.65
Germany,DEU,2015-01-14,27.68
France,FRA,2015-01-14,38.92
Finland,FIN,2015-01-14,34.08
Estonia,EST,2015-01-14,34.08
Denmark,DNK,2015-01-14,25.56
EU,EU,2015-01-14,40.72541666666667
Czechia,CZE,2015-01-14,30.47
Belgium,BEL,2015-01-14,39.99
Austria,AUT,2015-01-14,27.68
Hungary,HUN,2015-01-14,48.96
Sweden,SWE,2015-01-14,29.89
Italy,ITA,2015-01-14,51.19
Latvia,LVA,2015-01-14,50.78
Lithuania,LTU,2015-01-14,50.78
Luxembourg,LUX,2015-01-14,27.68
Netherlands,NLD,2015-01-14,39.7
Switzerland,CHE,2015-01-14,45.2
Poland,POL,2015-01-14,34.99
Norway,NOR,2015-01-14,28.86
Portugal,PRT,2015-01-14,61.12
Romania,ROU,2015-01-14,47.87
Slovakia,SVK,2015-01-14,31.85
Slovenia,SVN,2015-01-14,47.31
Spain,ESP,2015-01-14,61.12
Spain,ESP,2015-01-15,47.53
Switzerland,CHE,2015-01-15,43.67
Sweden,SWE,2015-01-15,29.08
EU,EU,2015-01-15,38.23833333333334
Slovenia,SVN,2015-01-15,49.48
Netherlands,NLD,2015-01-15,42.67
Romania,ROU,2015-01-15,45.51
Austria,AUT,2015-01-15,24.76
Belgium,BEL,2015-01-15,42.67
Czechia,CZE,2015-01-15,25.3
Denmark,DNK,2015-01-15,23.42
Estonia,EST,2015-01-15,35.42
Finland,FIN,2015-01-15,35.43
Slovakia,SVK,2015-01-15,27.85
Greece,GRC,2015-01-15,64.76
France,FRA,2015-01-15,37.08
Italy,ITA,2015-01-15,53.07
Latvia,LVA,2015-01-15,40.71
Lithuania,LTU,2015-01-15,40.71
Luxembourg,LUX,2015-01-15,24.76
Norway,NOR,2015-01-15,27.5
Poland,POL,2015-01-15,38.19
Portugal,PRT,2015-01-15,47.53
Hungary,HUN,2015-01-15,45.86
Germany,DEU,2015-01-15,24.76
Slovenia,SVN,2015-01-16,47.22
EU,EU,2015-01-16,40.17041666666667
Switzerland,CHE,2015-01-16,45.83
Sweden,SWE,2015-01-16,28.74
Spain,ESP,2015-01-16,52.66
Slovakia,SVK,2015-01-16,35.47
Portugal,PRT,2015-01-16,52.66
Austria,AUT,2015-01-16,33.89
Belgium,BEL,2015-01-16,42.28
Czechia,CZE,2015-01-16,35.24
Denmark,DNK,2015-01-16,23.42
Estonia,EST,2015-01-16,33.3
Finland,FIN,2015-01-16,33.34
France,FRA,2015-01-16,42.14
Germany,DEU,2015-01-16,33.89
Greece,GRC,2015-01-16,65.9
Romania,ROU,2015-01-16,43.52
Hungary,HUN,2015-01-16,43.57
Italy,ITA,2015-01-16,51.89
Latvia,LVA,2015-01-16,40.0
Lithuania,LTU,2015-01-16,40.0
Luxembourg,LUX,2015-01-16,33.89
Netherlands,NLD,2015-01-16,42.28
Norway,NOR,2015-01-16,27.59
Poland,POL,2015-01-16,35.37
Sweden,SWE,2015-01-17,28.47
Switzerland,CHE,2015-01-17,42.73
EU,EU,2015-01-17,36.09583333333333
Spain,ESP,2015-01-17,46.6
Slovenia,SVN,2015-01-17,34.57
Slovakia,SVK,2015-01-17,30.82
Austria,AUT,2015-01-17,31.26
Belgium,BEL,2015-01-17,37.05
Czechia,CZE,2015-01-17,30.82
Denmark,DNK,2015-01-17,27.81
Estonia,EST,2015-01-17,28.5
Finland,FIN,2015-01-17,28.5
France,FRA,2015-01-17,36.97
Germany,DEU,2015-01-17,31.26
Hungary,HUN,2015-01-17,33.68
Greece,GRC,2015-01-17,61.48
Latvia,LVA,2015-01-17,38.9
Lithuania,LTU,2015-01-17,38.9
Luxembourg,LUX,2015-01-17,31.26
Netherlands,NLD,2015-01-17,36.62
Norway,NOR,2015-01-17,27.71
Poland,POL,2015-01-17,36.08
Portugal,PRT,2015-01-17,46.6
Romania,ROU,2015-01-17,32.82
Italy,ITA,2015-01-17,46.89
Sweden,SWE,2015-01-18,28.24
EU,EU,2015-01-18,33.84041666666666
Switzerland,CHE,2015-01-18,38.37
Spain,ESP,2015-01-18,42.89
Greece,GRC,2015-01-18,60.73
Slovakia,SVK,2015-01-18,27.36
Austria,AUT,2015-01-18,27.18
Belgium,BEL,2015-01-18,38.28
Czechia,CZE,2015-01-18,27.36
Denmark,DNK,2015-01-18,27.67
Estonia,EST,2015-01-18,28.24
Finland,FIN,2015-01-18,28.24
France,FRA,2015-01-18,36.88
Germany,DEU,2015-01-18,27.18
Slovenia,SVN,2015-01-18,28.59
Hungary,HUN,2015-01-18,31.75
Latvia,LVA,2015-01-18,32.3
Lithuania,LTU,2015-01-18,32.3
Luxembourg,LUX,2015-01-18,27.18
Netherlands,NLD,2015-01-18,38.05
Norway,NOR,2015-01-18,28.24
Poland,POL,2015-01-18,32.91
Portugal,PRT,2015-01-18,42.89
Romania,ROU,2015-01-18,31.76
Italy,ITA,2015-01-18,47.58
EU,EU,2015-01-19,44.040416666666665
Switzerland,CHE,2015-01-19,49.61
Sweden,SWE,2015-01-19,32.81
Netherlands,NLD,2015-01-19,43.65
Slovenia,SVN,2015-01-19,47.33
Portugal,PRT,2015-01-19,52.52
Poland,POL,2015-01-19,37.71
Norway,NOR,2015-01-19,32.3
Luxembourg,LUX,2015-01-19,42.75
Lithuania,LTU,2015-01-19,40.48
Latvia,LVA,2015-01-19,40.48
Hungary,HUN,2015-01-19,48.74
Romania,ROU,2015-01-19,47.76
Greece,GRC,2015-01-19,59.87
France,FRA,2015-01-19,46.44
Finland,FIN,2015-01-19,38.42
Estonia,EST,2015-01-19,38.89
Denmark,DNK,2015-01-19,34.4
Czechia,CZE,2015-01-19,42.85
Belgium,BEL,2015-01-19,46.44
Austria,AUT,2015-01-19,42.75
Germany,DEU,2015-01-19,42.75
Spain,ESP,2015-01-19,52.52
Italy,ITA,2015-01-19,52.65
Slovakia,SVK,2015-01-19,42.85
Romania,ROU,2015-01-20,45.61
Austria,AUT,2015-01-20,47.0
Belgium,BEL,2015-01-20,49.81
Czechia,CZE,2015-01-20,44.77
Denmark,DNK,2015-01-20,40.45
EU,EU,2015-01-20,46.232499999999995
Estonia,EST,2015-01-20,36.59
Finland,FIN,2015-01-20,36.59
Poland,POL,2015-01-20,40.76
France,FRA,2015-01-20,49.81
Greece,GRC,2015-01-20,63.49
Hungary,HUN,2015-01-20,45.9
Italy,ITA,2015-01-20,54.03
Latvia,LVA,2015-01-20,40.45
Lithuania,LTU,2015-01-20,40.45
Luxembourg,LUX,2015-01-20,47.0
Netherlands,NLD,2015-01-20,47.63
Germany,DEU,2015-01-20,47.0
Portugal,PRT,2015-01-20,61.13
Norway,NOR,2015-01-20,30.99
Slovenia,SVN,2015-01-20,49.31
Spain,ESP,2015-01-20,61.13
Sweden,SWE,2015-01-20,34.9
Switzerland,CHE,2015-01-20,49.82
Slovakia,SVK,2015-01-20,44.96
Norway,NOR,2015-01-21,32.49
Austria,AUT,2015-01-21,44.93
Belgium,BEL,2015-01-21,50.08
Czechia,CZE,2015-01-21,44.46
Denmark,DNK,2015-01-21,41.53
Luxembourg,LUX,2015-01-21,44.93
Finland,FIN,2015-01-21,40.69
France,FRA,2015-01-21,50.08
Germany,DEU,2015-01-21,44.93
Greece,GRC,2015-01-21,59.98
Hungary,HUN,2015-01-21,45.27
EU,EU,2015-01-21,45.6575
Italy,ITA,2015-01-21,53.39
Netherlands,NLD,2015-01-21,45.23
Estonia,EST,2015-01-21,40.69
Latvia,LVA,2015-01-21,42.81
Lithuania,LTU,2015-01-21,42.81
Poland,POL,2015-01-21,43.18
Portugal,PRT,2015-01-21,51.28
Romania,ROU,2015-01-21,45.0
Slovakia,SVK,2015-01-21,44.46
Slovenia,SVN,2015-01-21,45.14
Spain,ESP,2015-01-21,51.28
Sweden,SWE,2015-01-21,40.22
Switzerland,CHE,2015-01-21,50.92
Luxembourg,LUX,2015-01-22,43.88
EU,EU,2015-01-22,45.76333333333333
Austria,AUT,2015-01-22,43.88
Belgium,BEL,2015-01-22,51.44
Czechia,CZE,2015-01-22,44.39
Denmark,DNK,2015-01-22,41.99
Estonia,EST,2015-01-22,41.64
Lithuania,LTU,2015-01-22,44.19
Finland,FIN,2015-01-22,41.64
Germany,DEU,2015-01-22,43.88
Netherlands,NLD,2015-01-22,44.38
Norway,NOR,2015-01-22,33.91
Poland,POL,2015-01-22,39.02
Portugal,PRT,2015-01-22,50.83
Latvia,LVA,2015-01-22,44.16
France,FRA,2015-01-22,51.44
Slovakia,SVK,2015-01-22,44.39
Spain,ESP,2015-01-22,50.83
Sweden,SWE,2015-01-22,41.27
Switzerland,CHE,2015-01-22,52.06
Italy,ITA,2015-01-22,52.77
Hungary,HUN,2015-01-22,44.6
Greece,GRC,2015-01-22,65.12
Slovenia,SVN,2015-01-22,45.28
Romania,ROU,2015-01-22,41.33
EU,EU,2015-01-23,44.244166666666665
Slovakia,SVK,2015-01-23,42.91
Sweden,SWE,2015-01-23,39.49
Slovenia,SVN,2015-01-23,44.57
Romania,ROU,2015-01-23,28.9
Portugal,PRT,2015-01-23,53.83
Poland,POL,2015-01-23,36.73
Norway,NOR,2015-01-23,38.62
Netherlands,NLD,2015-01-23,43.6
Luxembourg,LUX,2015-01-23,42.26
Lithuania,LTU,2015-01-23,43.69
Latvia,LVA,2015-01-23,43.69
Italy,ITA,2015-01-23,52.84
Greece,GRC,2015-01-23,58.68
Germany,DEU,2015-01-23,42.26
France,FRA,2015-01-23,48.49
Finland,FIN,2015-01-23,40.45
Estonia,EST,2015-01-23,40.45
Denmark,DNK,2015-01-23,39.91
Czechia,CZE,2015-01-23,42.91
Belgium,BEL,2015-01-23,48.49
Austria,AUT,2015-01-23,42.26
Spain,ESP,2015-01-23,53.63
Switzerland,CHE,2015-01-23,49.28
Hungary,HUN,2015-01-23,43.92
Switzerland,CHE,2015-01-24,43.09
Belgium,BEL,2015-01-24,42.41
Czechia,CZE,2015-01-24,30.49
Denmark,DNK,2015-01-24,27.92
Estonia,EST,2015-01-24,28.95
Finland,FIN,2015-01-24,28.95
France,FRA,2015-01-24,42.41
Germany,DEU,2015-01-24,29.56
Greece,GRC,2015-01-24,55.76
Hungary,HUN,2015-01-24,31.89
Italy,ITA,2015-01-24,47.68
Latvia,LVA,2015-01-24,37.24
Lithuania,LTU,2015-01-24,37.24
Luxembourg,LUX,2015-01-24,29.56
Netherlands,NLD,2015-01-24,39.82
Norway,NOR,2015-01-24,28.34
Poland,POL,2015-01-24,34.78
Portugal,PRT,2015-01-24,46.77
Romania,ROU,2015-01-24,25.82
Slovakia,SVK,2015-01-24,30.49
EU,EU,2015-01-24,35.735
Slovenia,SVN,2015-01-24,33.62
Spain,ESP,2015-01-24,46.77
Sweden,SWE,2015-01-24,28.52
Austria,AUT,2015-01-24,29.56
EU,EU,2015-01-25,34.110416666666666
Switzerland,CHE,2015-01-25,38.38
Luxembourg,LUX,2015-01-25,28.43
Sweden,SWE,2015-01-25,28.83
Spain,ESP,2015-01-25,40.74
Slovenia,SVN,2015-01-25,31.75
Slovakia,SVK,2015-01-25,26.55
Romania,ROU,2015-01-25,30.27
Portugal,PRT,2015-01-25,40.74
Poland,POL,2015-01-25,30.85
Norway,NOR,2015-01-25,28.6
Netherlands,NLD,2015-01-25,40.16
Lithuania,LTU,2015-01-25,39.23
Latvia,LVA,2015-01-25,39.23
Italy,ITA,2015-01-25,42.27
Hungary,HUN,2015-01-25,30.25
Greece,GRC,2015-01-25,52.27
Germany,DEU,2015-01-25,28.43
France,FRA,2015-01-25,40.09
Finland,FIN,2015-01-25,28.79
Estonia,EST,2015-01-25,28.79
Denmark,DNK,2015-01-25,28.57
Czechia,CZE,2015-01-25,26.55
Belgium,BEL,2015-01-25,40.45
Austria,AUT,2015-01-25,28.43
EU,EU,2015-01-26,42.05583333333333
Austria,AUT,2015-01-26,37.23
Belgium,BEL,2015-01-26,47.17
Czechia,CZE,2015-01-26,35.4
Finland,FIN,2015-01-26,37.84
Germany,DEU,2015-01-26,37.23
Greece,GRC,2015-01-26,61.54
Denmark,DNK,2015-01-26,28.42
Hungary,HUN,2015-01-26,42.88
Italy,ITA,2015-01-26,50.66
Latvia,LVA,2015-01-26,43.08
Lithuania,LTU,2015-01-26,43.08
Luxembourg,LUX,2015-01-26,37.23
Netherlands,NLD,2015-01-26,43.99
Norway,NOR,2015-01-26,28.61
France,FRA,2015-01-26,47.17
Poland,POL,2015-01-26,36.06
Portugal,PRT,2015-01-26,58.06
Romania,ROU,2015-01-26,42.92
Slovakia,SVK,2015-01-26,35.4
Slovenia,SVN,2015-01-26,41.6
Spain,ESP,2015-01-26,58.06
Sweden,SWE,2015-01-26,28.99
Switzerland,CHE,2015-01-26,48.94
Estonia,EST,2015-01-26,37.78
Austria,AUT,2015-01-27,33.21
Belgium,BEL,2015-01-27,48.28
Denmark,DNK,2015-01-27,28.86
Finland,FIN,2015-01-27,41.72
EU,EU,2015-01-27,42.461666666666666
France,FRA,2015-01-27,48.28
Germany,DEU,2015-01-27,33.21
Greece,GRC,2015-01-27,61.94
Hungary,HUN,2015-01-27,47.27
Italy,ITA,2015-01-27,52.04
Latvia,LVA,2015-01-27,45.61
Lithuania,LTU,2015-01-27,45.61
Luxembourg,LUX,2015-01-27,33.21
Netherlands,NLD,2015-01-27,39.59
Norway,NOR,2015-01-27,29.16
Poland,POL,2015-01-27,38.41
Portugal,PRT,2015-01-27,56.02
Romania,ROU,2015-01-27,47.46
Slovakia,SVK,2015-01-27,36.25
Slovenia,SVN,2015-01-27,43.67
Spain,ESP,2015-01-27,55.19
Sweden,SWE,2015-01-27,29.28
Switzerland,CHE,2015-01-27,48.55
Czechia,CZE,2015-01-27,34.54
Estonia,EST,2015-01-27,41.72
EU,EU,2015-01-28,39.693333333333335
Norway,NOR,2015-01-28,27.54
Spain,ESP,2015-01-28,57.68
Slovenia,SVN,2015-01-28,46.41
Slovakia,SVK,2015-01-28,35.01
Romania,ROU,2015-01-28,42.47
Portugal,PRT,2015-01-28,57.55
Poland,POL,2015-01-28,35.41
Netherlands,NLD,2015-01-28,41.72
Luxembourg,LUX,2015-01-28,27.47
Lithuania,LTU,2015-01-28,40.92
Latvia,LVA,2015-01-28,40.92
Italy,ITA,2015-01-28,52.2
Hungary,HUN,2015-01-28,43.02
Greece,GRC,2015-01-28,64.61
Germany,DEU,2015-01-28,27.47
France,FRA,2015-01-28,45.24
Finland,FIN,2015-01-28,32.35
Estonia,EST,2015-01-28,32.35
Denmark,DNK,2015-01-28,26.62
Czechia,CZE,2015-01-28,28.14
Belgium,BEL,2015-01-28,45.24
Austria,AUT,2015-01-28,27.47
Switzerland,CHE,2015-01-28,47.17
Sweden,SWE,2015-01-28,27.66
EU,EU,2015-01-29,39.07041666666667
Denmark,DNK,2015-01-29,27.03
Austria,AUT,2015-01-29,26.93
France,FRA,2015-01-29,49.09
Germany,DEU,2015-01-29,26.93
Greece,GRC,2015-01-29,69.07
